cell_id,l0,l1,d0,d1,depth,near_boundary,trials,exact_recovery_frequency,mean_seed_fraction
0,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0,10,0.0,0.03737248379294054
1,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0,10,0.0,0.02981449770083029
2,0.0353677651315323,0.18568076694054456,0.08333333333333333,0.16666666666666666,2,0,10,0.0,0.03236127251257185
3,0.18568076694054456,0.33599376874955683,0.0,0.08333333333333333,2,0,10,0.0,0.03138940543888212
4,0.18568076694054456,0.2608372678450507,0.08333333333333333,0.125,3,0,10,0.6,0.03311461156232442
5,0.18568076694054456,0.22325901739279763,0.125,0.14583333333333331,4,0,10,0.9,0.03400433230367715
6,0.18568076694054456,0.2044698921666711,0.14583333333333331,0.15625,5,0,10,1.0,0.03253195138852896
7,0.18568076694054456,0.2044698921666711,0.15625,0.16666666666666666,5,0,10,1.0,0.03171364090710408
8,0.2044698921666711,0.22325901739279763,0.14583333333333331,0.15625,5,0,10,1.0,0.03379950971186208
9,0.2044698921666711,0.22325901739279763,0.15625,0.16666666666666666,5,1,20,1.0,0.033235059092532826
10,0.22325901739279763,0.24204814261892416,0.125,0.13541666666666666,5,0,10,0.9,0.03318277721836122
11,0.22325901739279763,0.24204814261892416,0.13541666666666666,0.14583333333333331,5,0,10,0.9,0.033909062286809996
12,0.24204814261892416,0.2608372678450507,0.125,0.13541666666666666,5,0,10,1.0,0.03138119153629609
13,0.24204814261892416,0.2608372678450507,0.13541666666666666,0.14583333333333331,5,1,20,1.0,0.03393642040638485
14,0.22325901739279763,0.24204814261892416,0.14583333333333331,0.15625,5,1,20,1.0,0.03167681231073187
15,0.22325901739279763,0.24204814261892416,0.15625,0.16666666666666666,5,1,20,1.0,0.033785739422141095
16,0.24204814261892416,0.2608372678450507,0.14583333333333331,0.15625,5,1,20,1.0,0.03285182844377714
17,0.24204814261892416,0.2608372678450507,0.15625,0.16666666666666666,5,0,10,1.0,0.032916788196816045
18,0.2608372678450507,0.29841551829730373,0.08333333333333333,0.10416666666666666,4,0,10,0.9,0.03186433688296541
19,0.2608372678450507,0.2796263930711772,0.10416666666666666,0.11458333333333333,5,0,10,0.9,0.03325027761498939
20,0.2608372678450507,0.2796263930711772,0.11458333333333333,0.125,5,0,10,1.0,0.03200122596515255
21,0.2796263930711772,0.29841551829730373,0.10416666666666666,0.11458333333333333,5,0,10,1.0,0.03438850804790543
22,0.2796263930711772,0.29841551829730373,0.11458333333333333,0.125,5,1,20,1.0,0.03358290511291602
23,0.29841551829730373,0.33599376874955683,0.08333333333333333,0.10416666666666666,4,0,10,1.0,0.03290627095300981
24,0.29841551829730373,0.31720464352343025,0.10416666666666666,0.11458333333333333,5,1,20,0.95,0.03235581002510669
25,0.29841551829730373,0.31720464352343025,0.11458333333333333,0.125,5,1,20,1.0,0.033189227265363885
26,0.31720464352343025,0.33599376874955683,0.10416666666666666,0.11458333333333333,5,1,20,1.0,0.03378517131422824
27,0.31720464352343025,0.33599376874955683,0.11458333333333333,0.125,5,0,10,1.0,0.034449259356546094
28,0.2608372678450507,0.2796263930711772,0.125,0.13541666666666666,5,1,20,1.0,0.03419453322530845
29,0.2608372678450507,0.2796263930711772,0.13541666666666666,0.14583333333333331,5,1,20,1.0,0.03282320036023131
30,0.2796263930711772,0.29841551829730373,0.125,0.13541666666666666,5,1,20,1.0,0.03288661269605423
31,0.2796263930711772,0.29841551829730373,0.13541666666666666,0.14583333333333331,5,0,10,1.0,0.032844876365616595
32,0.2608372678450507,0.29841551829730373,0.14583333333333331,0.16666666666666666,4,0,10,1.0,0.032895699174120246
33,0.29841551829730373,0.33599376874955683,0.125,0.14583333333333331,4,0,10,1.0,0.03333319853192816
34,0.29841551829730373,0.33599376874955683,0.14583333333333331,0.16666666666666666,4,0,10,1.0,0.03423907020281458
35,0.0353677651315323,0.11052426603603843,0.16666666666666666,0.20833333333333331,3,0,10,0.0,0.030199257391766727
36,0.0353677651315323,0.11052426603603843,0.20833333333333331,0.25,3,0,10,0.2,0.03525868658081888
37,0.11052426603603843,0.14810251648829148,0.16666666666666666,0.1875,4,0,10,0.9,0.033976419179180276
38,0.11052426603603843,0.14810251648829148,0.1875,0.20833333333333331,4,0,10,0.9,0.03241261681987978
39,0.14810251648829148,0.18568076694054456,0.16666666666666666,0.1875,4,0,10,0.9,0.0353814518667375
40,0.14810251648829148,0.166891641714418,0.1875,0.19791666666666666,5,0,10,1.0,0.031221027620293086
41,0.14810251648829148,0.166891641714418,0.19791666666666666,0.20833333333333331,5,0,10,0.9,0.03379787867881886
42,0.166891641714418,0.18568076694054456,0.1875,0.19791666666666666,5,1,20,1.0,0.03222514909208532
43,0.166891641714418,0.18568076694054456,0.19791666666666666,0.20833333333333331,5,1,20,1.0,0.03408089628175827
44,0.11052426603603843,0.14810251648829148,0.20833333333333331,0.22916666666666666,4,0,10,1.0,0.03430625503249868
45,0.11052426603603843,0.12931339126216496,0.22916666666666666,0.23958333333333331,5,0,10,1.0,0.032293756887274885
46,0.11052426603603843,0.12931339126216496,0.23958333333333331,0.25,5,0,10,0.9,0.033761849550305416
47,0.12931339126216496,0.14810251648829148,0.22916666666666666,0.23958333333333331,5,1,20,1.0,0.033313961771451676
48,0.12931339126216496,0.14810251648829148,0.23958333333333331,0.25,5,1,20,1.0,0.03270757001211766
49,0.14810251648829148,0.166891641714418,0.20833333333333331,0.21875,5,1,20,1.0,0.03446020392988589
50,0.14810251648829148,0.166891641714418,0.21875,0.22916666666666666,5,1,20,0.95,0.033406009327234566
51,0.166891641714418,0.18568076694054456,0.20833333333333331,0.21875,5,1,20,1.0,0.03343396393669441
52,0.166891641714418,0.18568076694054456,0.21875,0.22916666666666666,5,0,10,1.0,0.03440266005180691
53,0.14810251648829148,0.166891641714418,0.22916666666666666,0.23958333333333331,5,1,20,1.0,0.031441998829536445
54,0.14810251648829148,0.166891641714418,0.23958333333333331,0.25,5,0,10,1.0,0.03452716281968439
55,0.166891641714418,0.18568076694054456,0.22916666666666666,0.23958333333333331,5,0,10,1.0,0.0334222054119531
56,0.166891641714418,0.18568076694054456,0.23958333333333331,0.25,5,0,10,1.0,0.0326456403462085
57,0.0353677651315323,0.11052426603603843,0.25,0.29166666666666663,3,0,10,0.5,0.034284305945591335
58,0.0353677651315323,0.07294601558378537,0.29166666666666663,0.3125,4,0,10,0.2,0.032538101871225626
59,0.0353677651315323,0.07294601558378537,0.3125,0.3333333333333333,4,0,10,0.5,0.03001995711535499
60,0.07294601558378537,0.11052426603603843,0.29166666666666663,0.3125,4,0,10,0.8,0.03514316396302634
61,0.07294601558378537,0.09173514080991191,0.3125,0.32291666666666663,5,0,10,1.0,0.0320511853773541
62,0.07294601558378537,0.09173514080991191,0.32291666666666663,0.3333333333333333,5,0,10,0.7,0.03266984716161365
63,0.09173514080991191,0.11052426603603843,0.3125,0.32291666666666663,5,1,20,0.9,0.030626453482540346
64,0.09173514080991191,0.11052426603603843,0.32291666666666663,0.3333333333333333,5,1,20,0.95,0.03167367508475372
65,0.11052426603603843,0.12931339126216496,0.25,0.26041666666666663,5,0,10,1.0,0.032200173053700806
